item_code,image_path,product_name,color_jp,color_en,page_product_name,1ページのカード枚数
13364,G:\共有ドライブ\［社内共有］0103_デザイン部（制作関連）\02_WEB制作関連\01_商品ページ\【DN】エッケ\ハイ\amazon\a_bk.jpg,エッケ（ハイ）,ブラック,BLACK,エッケ（ハイ）,4
13365,G:\共有ドライブ\［社内共有］0103_デザイン部（制作関連）\02_WEB制作関連\01_商品ページ\【DN】エッケ\ハイ\amazon\a_na.jpg,エッケ（ハイ）,ナチュラル,NATURAL,エッケ（ハイ）,4
13362,G:\共有ドライブ\［社内共有］0103_デザイン部（制作関連）\02_WEB制作関連\01_商品ページ\【DN】エッケ\ロー\amazon\a_bk.jpg,エッケ（ロー）,ブラック,BLACK,エッケ（ロー）,4
13363,G:\共有ドライブ\［社内共有］0103_デザイン部（制作関連）\02_WEB制作関連\01_商品ページ\【DN】エッケ\ロー\amazon\a_na.jpg,エッケ（ロー）,ナチュラル,NATURAL,エッケ（ロー）,4
15446,G:\共有ドライブ\［社内共有］0103_デザイン部（制作関連）\02_WEB制作関連\01_商品ページ\【BTH】カルム_D\amazon\a_wh.jpg,カルムD,ホワイト,WHITE,カルムSD/D,4
15442,G:\共有ドライブ\［社内共有］0103_デザイン部（制作関連）\02_WEB制作関連\01_商品ページ\【BTH】カルム_S\amazon\a_wh.jpg,カルムS,ホワイト,WHITE,カルムS,4
15443,G:\共有ドライブ\［社内共有］0103_デザイン部（制作関連）\02_WEB制作関連\01_商品ページ\【BTH】カルム_S\amazon\a_bk.jpg,カルムS,ブラック,BLACK,カルムS,4
15444,G:\共有ドライブ\［社内共有］0103_デザイン部（制作関連）\02_WEB制作関連\01_商品ページ\【BTH】カルム_SD\amazon\a_wh.jpg,カルムSD,ホワイト,WHITE,カルムSD/D,4
16653,G:\共有ドライブ\［社内共有］0103_デザイン部（制作関連）\02_WEB制作関連\01_商品ページ\【ZSG】キャビット80×30_4段\amazon\a_bk_4.jpg,キャビット4段80cm×30cm,ブラック,BLACK,キャビット4段,2
16654,G:\共有ドライブ\［社内共有］0103_デザイン部（制作関連）\02_WEB制作関連\01_商品ページ\【ZSG】キャビット80×30_4段\amazon\a_wh_4.jpg,キャビット4段80cm×30cm,ホワイト,WHITE,キャビット4段,2
