item_code,image_path,product_name,color_jp,color_en,page_product_name,1ページのカード枚数,ステータス,エラーログ
12836,G:\共有ドライブ\［社内共有］0103_デザイン部（制作関連）\02_WEB制作関連\01_商品ページ\【RM】アスベル\Amazon用\GRY.jpg,アスベル,グレー,GREY,アスベル,2,正常,
12839,G:\共有ドライブ\［社内共有］0103_デザイン部（制作関連）\02_WEB制作関連\01_商品ページ\【RM】アスベル\Amazon用\NV.jpg,アスベル,ネイビー,NAVY,アスベル,2,正常,
15325,G:\共有ドライブ\［社内共有］0103_デザイン部（制作関連）\02_WEB制作関連\01_商品ページ\【LV】アメリー_3P\Amazon\a_gry.jpg,アメリー3P,グレー,GREY,アメリー 3P,4,正常,
15326,G:\共有ドライブ\［社内共有］0103_デザイン部（制作関連）\02_WEB制作関連\01_商品ページ\【LV】アメリー_3P\Amazon\a_br.jpg,アメリー3P,ブラウン,BROWN,アメリー 3P,4,正常,
15329,G:\共有ドライブ\［社内共有］0103_デザイン部（制作関連）\02_WEB制作関連\01_商品ページ\【LV】アメリー_3P\Amazon\a_bk.jpg,アメリー3P,ブラック,BLACK,アメリー 3P,4,正常,
15327,G:\共有ドライブ\［社内共有］0103_デザイン部（制作関連）\02_WEB制作関連\01_商品ページ\【LV】アメリー_3P\Amazon\a_gn.jpg,アメリー3P,グリーン,GREEN,アメリー 3P,4,正常,
15163,G:\共有ドライブ\［社内共有］0103_デザイン部（制作関連）\02_WEB制作関連\01_商品ページ\【RM】キシリア\Amazon\a_rd.jpg,キシリア,レッド,RED,キシリア,2,正常,
15164,G:\共有ドライブ\［社内共有］0103_デザイン部（制作関連）\02_WEB制作関連\01_商品ページ\【RM】キシリア\Amazon\a_nv.jpg,キシリア,ネイビー,NAVY,キシリア,2,正常,
15252,G:\共有ドライブ\［社内共有］0103_デザイン部（制作関連）\02_WEB制作関連\01_商品ページ\【RM】クノーケ\amazon\a_nv.jpg,クノーケ,ネイビー【ファブリック】,NAVY,クノーケ,4,正常,
15253,G:\共有ドライブ\［社内共有］0103_デザイン部（制作関連）\02_WEB制作関連\01_商品ページ\【RM】クノーケ\amazon\a_gry.jpg,クノーケ,グレー【ファブリック】,GRAY,クノーケ,4,正常,
15256,G:\共有ドライブ\［社内共有］0103_デザイン部（制作関連）\02_WEB制作関連\01_商品ページ\【RM】クノーケ\amazon\a_be.jpg,クノーケ,ベージュ【ファブリック】,BEIGE,クノーケ,4,正常,
15257,G:\共有ドライブ\［社内共有］0103_デザイン部（制作関連）\02_WEB制作関連\01_商品ページ\【RM】クノーケ\amazon\a_iv.jpg,クノーケ,アイボリー【ファブリック】,IVORY,クノーケ,4,正常,
12509,G:\共有ドライブ\［社内共有］0103_デザイン部（制作関連）\02_WEB制作関連\01_商品ページ\【XIN】コージー\cozy_1P\Amazon\a_01-or.jpg,コージー1p,オレンジ,ORANGE,コージー1P,6,正常,
12510,G:\共有ドライブ\［社内共有］0103_デザイン部（制作関連）\02_WEB制作関連\01_商品ページ\【XIN】コージー\cozy_1P\Amazon\a_01-gn.jpg,コージー1p,グリーン,GREEN,コージー1P,6,正常,
12512,G:\共有ドライブ\［社内共有］0103_デザイン部（制作関連）\02_WEB制作関連\01_商品ページ\【XIN】コージー\cozy_1P\Amazon\a_01-gry.jpg,コージー1p,グレー,GREY,コージー1P,6,正常,
12514,G:\共有ドライブ\［社内共有］0103_デザイン部（制作関連）\02_WEB制作関連\01_商品ページ\【XIN】コージー\cozy_1P\Amazon\a_01-bk2.jpg,コージー1p,ブラック,BLACK,コージー1P,6,正常,
12515,G:\共有ドライブ\［社内共有］0103_デザイン部（制作関連）\02_WEB制作関連\01_商品ページ\【XIN】コージー\cozy_1P\Amazon\a_01-pbr.jpg,コージー1p,パッチワークブラウン,PATCHWORK BROWN,コージー1P,6,正常,
12516,G:\共有ドライブ\［社内共有］0103_デザイン部（制作関連）\02_WEB制作関連\01_商品ページ\【XIN】コージー\cozy_1P\Amazon\a_01-pbk.jpg,コージー1p,パッチワークブラック,PATCHWORK BLACK,コージー1P,6,正常,
12517,G:\共有ドライブ\［社内共有］0103_デザイン部（制作関連）\02_WEB制作関連\01_商品ページ\【XIN】コージー\cozy_2P\Amazon\a_02-or.jpg,コージー2P,オレンジ,ORANGE,コージー2P,8,正常,
12518,G:\共有ドライブ\［社内共有］0103_デザイン部（制作関連）\02_WEB制作関連\01_商品ページ\【XIN】コージー\cozy_2P\Amazon\a_02-gn.jpg,コージー2P,グリーン,GREEN,コージー2P,8,正常,
12519,G:\共有ドライブ\［社内共有］0103_デザイン部（制作関連）\02_WEB制作関連\01_商品ページ\【XIN】コージー\cozy_2P\Amazon\a_02-nv.jpg,コージー2P,ネイビー,NAVY,コージー2P,8,正常,
12520,G:\共有ドライブ\［社内共有］0103_デザイン部（制作関連）\02_WEB制作関連\01_商品ページ\【XIN】コージー\cozy_2P\Amazon\a_02-gry.jpg,コージー2P,グレー,GREY,コージー2P,8,正常,
12521,G:\共有ドライブ\［社内共有］0103_デザイン部（制作関連）\02_WEB制作関連\01_商品ページ\【XIN】コージー\cozy_2P\Amazon\a_02-dbr.jpg,コージー2P,ダークブラウン,DARK BROWN,コージー2P,8,正常,
12522,G:\共有ドライブ\［社内共有］0103_デザイン部（制作関連）\02_WEB制作関連\01_商品ページ\【XIN】コージー\cozy_2P\Amazon\a_02-bk2.jpg,コージー2P,ブラック,BLACK,コージー2P,8,正常,
12523,G:\共有ドライブ\［社内共有］0103_デザイン部（制作関連）\02_WEB制作関連\01_商品ページ\【XIN】コージー\cozy_2P\Amazon\a_02-pbr.jpg,コージー2P,パッチワークブラウン,PATCHWORK BROWN,コージー2P,8,正常,
12524,G:\共有ドライブ\［社内共有］0103_デザイン部（制作関連）\02_WEB制作関連\01_商品ページ\【XIN】コージー\cozy_2P\Amazon\a_02-pbk.jpg,コージー2P,パッチワークブラック,PATCHWORK BLACK,コージー2P,8,正常,
12618,G:\共有ドライブ\［社内共有］0103_デザイン部（制作関連）\02_WEB制作関連\01_商品ページ\【LV】デランナ\2P\Amazon\navy.jpg,デランナ,ネイビー,NAVY,デランナ,3,正常,
12621,G:\共有ドライブ\［社内共有］0103_デザイン部（制作関連）\02_WEB制作関連\01_商品ページ\【LV】デランナ\2P\Amazon\gray.jpg,デランナ,グレー,GREY,デランナ,3,正常,
12622,G:\共有ドライブ\［社内共有］0103_デザイン部（制作関連）\02_WEB制作関連\01_商品ページ\【LV】デランナ\2P\Amazon\red.jpg,デランナ,レッド,RED,デランナ,3,正常,
12964,G:\共有ドライブ\［社内共有］0103_デザイン部（制作関連）\02_WEB制作関連\01_商品ページ\【LV】デランナ\3P\Amazon\NV.jpg,デランナ3P,ネイビー,NAVY,デランナ3P,4,正常,
12965,G:\共有ドライブ\［社内共有］0103_デザイン部（制作関連）\02_WEB制作関連\01_商品ページ\【LV】デランナ\3P\Amazon\BK.jpg,デランナ3P,ブラック,BLACK,デランナ3P,4,正常,
12966,G:\共有ドライブ\［社内共有］0103_デザイン部（制作関連）\02_WEB制作関連\01_商品ページ\【LV】デランナ\3P\Amazon\BR.jpg,デランナ3P,ブラウン,BROWN,デランナ3P,4,正常,
12967,G:\共有ドライブ\［社内共有］0103_デザイン部（制作関連）\02_WEB制作関連\01_商品ページ\【LV】デランナ\3P\Amazon\GRY.jpg,デランナ3P,グレー,GREY,デランナ3P,4,正常,
12221,G:\共有ドライブ\［社内共有］0103_デザイン部（制作関連）\02_WEB制作関連\01_商品ページ\【RM】トルメキア\Amazon\A_01_2PBR.jpg,トルメキア-2P,ブラウン,BROWN,トルメキア2P,3,正常,
12222,G:\共有ドライブ\［社内共有］0103_デザイン部（制作関連）\02_WEB制作関連\01_商品ページ\【RM】トルメキア\Amazon\A_01_2PBK.jpg,トルメキア-2P,ブラック,BLACK,トルメキア2P,3,正常,
12220,G:\共有ドライブ\［社内共有］0103_デザイン部（制作関連）\02_WEB制作関連\01_商品ページ\【RM】トルメキア\Amazon\A_01_2PGRY.jpg,トルメキア-2P,グレー,GREY,トルメキア2P,3,正常,
14304,G:\共有ドライブ\［社内共有］0103_デザイン部（制作関連）\02_WEB制作関連\01_商品ページ\【RM】ナシュア\Amazon\a_DGR.jpg,ナシュア,ダークグリーン,DARK GREEN,ナシュア,1,正常,
12731,G:\共有ドライブ\［社内共有］0103_デザイン部（制作関連）\02_WEB制作関連\01_商品ページ\【RM】ノーマン\Amazon\a_pvc_bk.jpg,ノーマン,ブラック,BLACK,ノーマン,5,正常,
12733,G:\共有ドライブ\［社内共有］0103_デザイン部（制作関連）\02_WEB制作関連\01_商品ページ\【RM】ノーマン\Amazon\a_gr.jpg,ノーマン,グリーン,GREEN,ノーマン,5,正常,
15183,G:\共有ドライブ\［社内共有］0103_デザイン部（制作関連）\02_WEB制作関連\01_商品ページ\【RM】ノーマン\Amazon\a_gry_bk.jpg,ノーマン,ブラック×グレー,BLACK×GRAY,ノーマン,5,正常,
15184,G:\共有ドライブ\［社内共有］0103_デザイン部（制作関連）\02_WEB制作関連\01_商品ページ\【RM】ノーマン\Amazon\a_wh_br.jpg,ノーマン,ブラウン×ホワイト,BROWN×WHITE,ノーマン,5,正常,
12730,G:\共有ドライブ\［社内共有］0103_デザイン部（制作関連）\02_WEB制作関連\01_商品ページ\【RM】ノーマン\Amazon\a_pvc_br.jpg,ノーマン,ブラウン,BROWN,ノーマン,5,正常,
16696,G:\共有ドライブ\［社内共有］0103_デザイン部（制作関連）\02_WEB制作関連\01_商品ページ\【RM】ヒューゴPW_ST\amazon\a_pwor.jpg,ヒューゴST,パッチワークオレンジ,PATCHWORK ORANGE,ヒューゴ,3,正常,
15562,G:\共有ドライブ\［社内共有］0103_デザイン部（制作関連）\02_WEB制作関連\01_商品ページ\【RM】ヒューゴ\amazon\a_bk.jpg,ヒューゴ,パッチワークブラック,PATCHWORK BLACK,ヒューゴ,3,正常,
15167,G:\共有ドライブ\［社内共有］0103_デザイン部（制作関連）\02_WEB制作関連\01_商品ページ\【RM】ヒューゴ\amazon\a_bl.jpg,ヒューゴ,パッチワークブルー,PATCHWORK BLUE,ヒューゴ,3,正常,
12714,G:\共有ドライブ\［社内共有］0103_デザイン部（制作関連）\02_WEB制作関連\01_商品ページ\【RM】プルミエシリーズ\カウチのみ\amazon\a_bk_gry.jpg,プルミエカウチ,ブラック×グレー,BLACK×GRAY,プルミエ,5,正常,
12716,G:\共有ドライブ\［社内共有］0103_デザイン部（制作関連）\02_WEB制作関連\01_商品ページ\【RM】プルミエシリーズ\カウチのみ\amazon\a_wh_be.jpg,プルミエカウチ,ホワイト×ベージュ,WHITE×BEIGE,プルミエ,5,正常,
14257,G:\共有ドライブ\［社内共有］0103_デザイン部（制作関連）\02_WEB制作関連\01_商品ページ\【RM】プルミエシリーズ\1P\amazon\a_br.jpg,プルミエ-1P,ブラウン【レザー調】,BROWN,プルミエ,5,正常,
14272,G:\共有ドライブ\［社内共有］0103_デザイン部（制作関連）\02_WEB制作関連\01_商品ページ\【RM】プルミエシリーズ\カウチのみ\amazon\a_wh_nv.jpg,プルミエカウチ,ホワイト×ネイビー,WHITE×NAVY,プルミエ,5,正常,
14276,G:\共有ドライブ\［社内共有］0103_デザイン部（制作関連）\02_WEB制作関連\01_商品ページ\【RM】プルミエシリーズ\カウチのみ\amazon\a_wh.jpg,プルミエカウチ,ホワイト【レザー調】,WHITE,プルミエ,5,正常,
11896,G:\共有ドライブ\［社内共有］0103_デザイン部（制作関連）\02_WEB制作関連\01_商品ページ\【RM】プルミエシリーズ\2P\amazon\a_bk_gry.jpg,プルミエ-2P,ブラック×グレー,BLACK×GRAY,プルミエ2P,6,正常,
11897,G:\共有ドライブ\［社内共有］0103_デザイン部（制作関連）\02_WEB制作関連\01_商品ページ\【RM】プルミエシリーズ\2P\amazon\a_br_be.jpg,プルミエ-2P,ブラウン×ベージュ,BROWN×BEIGE,プルミエ2P,6,正常,
14260,G:\共有ドライブ\［社内共有］0103_デザイン部（制作関連）\02_WEB制作関連\01_商品ページ\【RM】プルミエシリーズ\2P\amazon\a_wh_nv.jpg,プルミエ-2P,ホワイト×ネイビー,WHITE×NAVY,プルミエ2P,6,正常,
14261,G:\共有ドライブ\［社内共有］0103_デザイン部（制作関連）\02_WEB制作関連\01_商品ページ\【RM】プルミエシリーズ\2P\amazon\a_wh_gry.jpg,プルミエ-2P,ホワイト×グレー,WHITE×GRAY,プルミエ2P,6,正常,
14262,G:\共有ドライブ\［社内共有］0103_デザイン部（制作関連）\02_WEB制作関連\01_商品ページ\【RM】プルミエシリーズ\2P\amazon\a_bk.jpg,プルミエ-2P,ブラック【レザー調】,BLACK,プルミエ2P,6,正常,
14263,G:\共有ドライブ\［社内共有］0103_デザイン部（制作関連）\02_WEB制作関連\01_商品ページ\【RM】プルミエシリーズ\2P\amazon\a_br.jpg,プルミエ-2P,ブラウン【レザー調】,BROWN,プルミエ2P,6,正常,
11901,G:\共有ドライブ\［社内共有］0103_デザイン部（制作関連）\02_WEB制作関連\01_商品ページ\【RM】プルミエシリーズ\3P\amazon\a_wh_be.jpg,プルミエ-3P,ホワイト×ベージュ,WHITE×BEIGE,プルミエ3P,3,正常,
14265,G:\共有ドライブ\［社内共有］0103_デザイン部（制作関連）\02_WEB制作関連\01_商品ページ\【RM】プルミエシリーズ\3P\amazon\a_bk_br.jpg,プルミエ-3P,ブラック×ブラウン,BLACK×BROWN,プルミエ3P,3,正常,
14266,G:\共有ドライブ\［社内共有］0103_デザイン部（制作関連）\02_WEB制作関連\01_商品ページ\【RM】プルミエシリーズ\3P\amazon\a_wh_nv.jpg,プルミエ-3P,ホワイト×ネイビー,WHITE×NAVY,プルミエ3P,3,正常,
11313,G:\共有ドライブ\［社内共有］0103_デザイン部（制作関連）\02_WEB制作関連\01_商品ページ\【RM】プルミエ\amazon\a_br_be.jpg,プルミエカウチセット,ブラウン×ベージュ,BROWN×BEIGE,プルミエカウチセット,5,正常,
11314,G:\共有ドライブ\［社内共有］0103_デザイン部（制作関連）\02_WEB制作関連\01_商品ページ\【RM】プルミエ\amazon\a_wh_be.jpg,プルミエカウチセット,ホワイト×ベージュ,WHITE×BEIGE,プルミエカウチセット,5,正常,
14247,G:\共有ドライブ\［社内共有］0103_デザイン部（制作関連）\02_WEB制作関連\01_商品ページ\【RM】プルミエ\amazon\a_bk_br.jpg,プルミエカウチセット,ブラック×ブラウン,BLACK×BROWN,プルミエカウチセット,5,正常,
14248,G:\共有ドライブ\［社内共有］0103_デザイン部（制作関連）\02_WEB制作関連\01_商品ページ\【RM】プルミエ\amazon\a_wh_nv.jpg,プルミエカウチセット,ホワイト×ネイビー,WHITE×NAVY,プルミエカウチセット,5,正常,
14249,G:\共有ドライブ\［社内共有］0103_デザイン部（制作関連）\02_WEB制作関連\01_商品ページ\【RM】プルミエ\amazon\a_wh_gry.jpg,プルミエカウチセット,ホワイト×グレー,WHITE×GRAY,プルミエカウチセット,5,正常,
11637,G:\共有ドライブ\［社内共有］0103_デザイン部（制作関連）\02_WEB制作関連\01_商品ページ\【RM】ユニゾン_コーナー\Amazon\a_DBR.jpg,ユニゾンコーナー,ダークブラウン,DARK BROWN,ユニゾン,3,正常,
14317,G:\共有ドライブ\［社内共有］0103_デザイン部（制作関連）\02_WEB制作関連\01_商品ページ\【RM】ユニゾン_カウチ\amazon\a_fab_nv.jpg,ユニゾンカウチ,ネイビー【ファブリック】,NAVY,ユニゾン,3,正常,
14318,G:\共有ドライブ\［社内共有］0103_デザイン部（制作関連）\02_WEB制作関連\01_商品ページ\【RM】ユニゾン_コーナー\Amazon\a_fabBR.jpg,ユニゾンコーナー,ブラウン【ファブリック】,BROWN,ユニゾン,3,正常,
11630,G:\共有ドライブ\［社内共有］0103_デザイン部（制作関連）\02_WEB制作関連\01_商品ページ\【RM】ユニゾン_2P\Amazon\a_br.jpg,ユニゾン2P,ブラウン,BROWN,ユニゾン2P,2,正常,
14309,G:\共有ドライブ\［社内共有］0103_デザイン部（制作関連）\02_WEB制作関連\01_商品ページ\【RM】ユニゾン_2P\Amazon\a_fab_nv.jpg,ユニゾン2P,ネイビー【ファブリック】,NAVY,ユニゾン2P,2,正常,
12841,G:\共有ドライブ\［社内共有］0103_デザイン部（制作関連）\02_WEB制作関連\01_商品ページ\【RM】ラフォーレ\Amazon\a_bk_pvc.jpg,ラフォーレ,ブラック【レザー調】,BLACK,ラフォーレ,4,正常,
12842,G:\共有ドライブ\［社内共有］0103_デザイン部（制作関連）\02_WEB制作関連\01_商品ページ\【RM】ラフォーレ\Amazon\a_wh_pvc.jpg,ラフォーレ,ホワイト【レザー調】,WHITE,ラフォーレ,4,正常,
15191,G:\共有ドライブ\［社内共有］0103_デザイン部（制作関連）\02_WEB制作関連\01_商品ページ\【RM】ラフォーレ\Amazon\a_bk_fab.jpg,ラフォーレ,ブラック【ファブリック】,BLACK,ラフォーレ,4,正常,
12846,G:\共有ドライブ\［社内共有］0103_デザイン部（制作関連）\02_WEB制作関連\01_商品ページ\【RM】ラフォーレ\旧\02\amazon\a_fab_bk.jpg,ラフォーレ,ブラック【厚手】,BLACK,ラフォーレ,4,正常,
14400,G:\共有ドライブ\［社内共有］0103_デザイン部（制作関連）\02_WEB制作関連\01_商品ページ\【RM】レパード\改修ページ(FAB)\amazon\a_BR.jpg,レパード：F,ブラウン,BROWN,レパードFAB,3,正常,
